Engine Size(L),Cylinders,Fuel Consumption Comb (L/100 km),CO2 Emissions(g/km),,Vehicle Class
2,4,8.5,196,,COMPACT
2.4,4,9.6,221,,COMPACT
1.5,4,5.9,136,,COMPACT
3.5,6,11.1,255,,SUV - SMALL
3.5,6,10.6,244,,SUV - SMALL
3.5,6,10,230,,MID-SIZE
3.5,6,10.1,232,,MID-SIZE
3.7,6,11.1,255,,MID-SIZE
3.7,6,11.6,267,,MID-SIZE
2.4,4,9.2,212,,COMPACT
2.4,4,9.8,225,,COMPACT
3.5,6,10.4,239,,COMPACT
1.8,4,8.4,193,,TWO-SEATER
5.9,12,15.6,359,,MINICOMPACT
5.9,12,15.6,359,,SUBCOMPACT
4.7,8,14.7,338,,TWO-SEATER
4.7,8,15.4,354,,TWO-SEATER
4.7,8,14.7,338,,TWO-SEATER
4.7,8,15.4,354,,TWO-SEATER
5.9,12,15.6,359,,MINICOMPACT
2,4,8.8,202,,COMPACT
2,4,10,230,,COMPACT
2,4,9.3,214,,COMPACT
2,4,10,230,,SUBCOMPACT
2,4,10,230,,SUBCOMPACT
2,4,9.3,214,,SUBCOMPACT
2,4,10.2,235,,MID-SIZE
3,6,10.9,251,,MID-SIZE
3,6,8.1,217,,MID-SIZE
3,6,11.2,262,,MID-SIZE
3,6,8.1,217,,MID-SIZE
3,6,11.2,258,,MID-SIZE
4,8,11.3,265,,MID-SIZE
3,6,8.4,224,,MID-SIZE
3,6,11.2,258,,FULL-SIZE
4,8,12.5,288,,FULL-SIZE
6.3,12,15.5,363,,FULL-SIZE
3,6,8.4,224,,FULL-SIZE
2,4,10.5,242,,STATION WAGON - SMALL
2,4,10.4,239,,SUV - SMALL
3,6,11.2,258,,SUV - SMALL
3,6,9,244,,SUV - SMALL
2,4,9.2,212,,SUV - SMALL
3,6,13.2,304,,SUV - STANDARD
3,6,10.7,290,,SUV - STANDARD
4.2,8,14.6,336,,TWO-SEATER
4.2,8,17.7,407,,TWO-SEATER
5.2,10,14.8,347,,TWO-SEATER
5.2,10,17.8,409,,TWO-SEATER
4.2,8,14.6,336,,TWO-SEATER
4.2,8,17.7,407,,TWO-SEATER
5.2,10,14.8,347,,TWO-SEATER
5.2,10,17.8,409,,TWO-SEATER
4.2,8,13.3,306,,SUBCOMPACT
4.2,8,13.4,308,,SUBCOMPACT
4,8,12.5,293,,MID-SIZE
3,6,11.4,262,,COMPACT
3,6,12.4,285,,COMPACT
3,6,11.4,262,,SUBCOMPACT
3,6,12.4,285,,SUBCOMPACT
3,6,11.6,267,,SUBCOMPACT
4,8,12.2,281,,MID-SIZE
4,8,12.2,281,,MID-SIZE
4,8,12.8,300,,MID-SIZE
3,6,12.7,292,,SUV - SMALL
2,4,9.1,209,,SUBCOMPACT
2,4,9.1,209,,TWO-SEATER
2,4,10.3,237,,SUBCOMPACT
2,4,10.3,237,,TWO-SEATER
4,8,13.4,314,,SUBCOMPACT
6,12,15.5,356,,SUBCOMPACT
4,8,14.2,332,,SUBCOMPACT
6,12,16.5,380,,SUBCOMPACT
6,12,16.5,380,,SUBCOMPACT
6,12,16.5,388,,MID-SIZE
6.8,8,19,437,,MID-SIZE
2,4,8.4,193,,COMPACT
2,4,8.7,200,,COMPACT
2,4,8.8,202,,COMPACT
2,4,6.7,181,,COMPACT
2,4,6.7,181,,STATION WAGON - SMALL
2,4,8.4,193,,COMPACT
2,4,8.7,200,,COMPACT
2,4,9.1,209,,COMPACT
2,4,9.1,209,,FULL-SIZE
2,4,9.1,209,,STATION WAGON - SMALL
3,6,9.6,221,,COMPACT
3,6,10,230,,COMPACT
3,6,9.9,228,,COMPACT
3,6,10.3,237,,COMPACT
3,6,10.1,232,,FULL-SIZE
2,4,8.4,193,,COMPACT
2,4,8.7,200,,COMPACT
2,4,9.1,209,,COMPACT
3,6,9.6,221,,COMPACT
3,6,10,230,,COMPACT
3,6,9.9,228,,COMPACT
3,6,10.3,237,,COMPACT
2,4,8.8,202,,MID-SIZE
2,4,9.1,209,,MID-SIZE
3,6,7.9,213,,MID-SIZE
3,6,10.1,232,,MID-SIZE
3,6,10.7,246,,FULL-SIZE
4.4,8,12.2,281,,MID-SIZE
4.4,8,12.7,292,,FULL-SIZE
3,6,10.1,232,,COMPACT
4.4,8,12.7,292,,SUBCOMPACT
4.4,8,12.2,281,,COMPACT
4.4,8,12.7,292,,COMPACT
3,6,10.7,246,,FULL-SIZE
4.4,8,12.7,292,,FULL-SIZE
4.4,8,12.7,292,,FULL-SIZE
6,12,15.5,356,,FULL-SIZE
3,6,8.3,191,,COMPACT
3,6,9.3,214,,MID-SIZE
3,6,9.2,212,,FULL-SIZE
4.4,8,12.7,292,,FULL-SIZE
4.4,8,12.7,292,,FULL-SIZE
4.4,8,14.7,338,,MID-SIZE
4.4,8,13.8,317,,MID-SIZE
4.4,8,14.7,338,,COMPACT
4.4,8,13.8,317,,COMPACT
4.4,8,14.7,338,,SUBCOMPACT
4.4,8,13.8,317,,SUBCOMPACT
4.4,8,14.7,338,,COMPACT
4.4,8,13.8,317,,COMPACT
2,4,9.1,209,,SUV - SMALL
3,6,11.3,260,,SUV - SMALL
2,4,10,230,,SUV - SMALL
3,6,11,253,,SUV - SMALL
3,6,11.1,255,,SUV - STANDARD
4.4,8,13.9,320,,SUV - STANDARD
4.4,8,16.1,370,,SUV - STANDARD
3,6,11.9,274,,SUV - STANDARD
4.4,8,14.1,324,,SUV - STANDARD
2,4,9.1,209,,TWO-SEATER
2,4,8.7,200,,TWO-SEATER
3,6,12.1,278,,TWO-SEATER
3,6,11,253,,TWO-SEATER
3,6,12.1,278,,TWO-SEATER
3.6,6,12.3,283,,SUV - STANDARD
3.6,6,12.6,290,,SUV - STANDARD
1.4,4,8.5,196,,SUV - SMALL
1.4,4,9.2,212,,SUV - SMALL
3.6,6,11.5,264,,MID-SIZE
3.6,6,15.6,250,,MID-SIZE
3.6,6,11.5,264,,MID-SIZE
3.6,6,16.5,264,,MID-SIZE
2.4,4,8.2,189,,MID-SIZE
2,4,9.9,228,,MID-SIZE
2,4,9.8,225,,MID-SIZE
2,4,10.7,246,,MID-SIZE
2.4,4,8.2,189,,MID-SIZE
2,4,9.9,228,,COMPACT
2,4,9.8,225,,COMPACT
2.4,4,9.5,218,,COMPACT
2,4,9.6,221,,COMPACT
2,4,10.2,235,,COMPACT
2.5,4,9,207,,COMPACT
3.6,6,10.9,251,,COMPACT
2,4,10.1,232,,COMPACT
3.6,6,11.3,260,,COMPACT
3.6,6,11.2,258,,MID-SIZE
3.6,6,11.4,262,,MID-SIZE
2,4,10.1,232,,MID-SIZE
3.6,6,10.8,248,,MID-SIZE
2,4,10.8,248,,MID-SIZE
3.6,6,11.3,260,,MID-SIZE
3.6,6,12.8,294,,MID-SIZE
3,6,11,253,,STATION WAGON - SMALL
3.6,6,11.3,260,,STATION WAGON - SMALL
3,6,11.1,255,,STATION WAGON - SMALL
3.6,6,11.4,262,,STATION WAGON - SMALL
6.2,8,16.6,382,,MID-SIZE
6.2,8,14.8,340,,MID-SIZE
6.2,8,16.6,382,,MID-SIZE
6.2,8,14.8,340,,MID-SIZE
6.2,8,16.6,382,,STATION WAGON - SMALL
6.2,8,14.8,340,,STATION WAGON - SMALL
6.2,8,14.7,338,,SUV - STANDARD
6.2,8,20.1,322,,SUV - STANDARD
6.2,8,16.4,377,,SUV - STANDARD
6.2,8,22.1,354,,SUV - STANDARD
3.6,6,12.3,283,,SUV - STANDARD
3.6,6,12.8,294,,SUV - STANDARD
3.6,6,11.4,262,,FULL-SIZE
3.6,6,11.8,271,,FULL-SIZE
3.6,6,12.6,290,,FULL-SIZE
3.6,6,11.2,258,,COMPACT
3.6,6,11.7,269,,COMPACT
3.6,6,10.5,242,,COMPACT
6.2,8,12.8,294,,COMPACT
6.2,8,12.7,292,,COMPACT
6.2,8,16.6,382,,COMPACT
6.2,8,14.8,340,,COMPACT
6.2,8,12,276,,TWO-SEATER
6.2,8,11.2,258,,TWO-SEATER
1.4,4,7.8,179,,MID-SIZE
1.4,4,7.8,179,,MID-SIZE
1.8,4,8.8,202,,MID-SIZE
1.8,4,8.2,189,,MID-SIZE
2,4,7.1,192,,MID-SIZE
1.4,4,7.7,177,,MID-SIZE
1.4,4,7.1,163,,MID-SIZE
2.4,4,9.1,209,,SUV - SMALL
3.6,6,12,276,,SUV - SMALL
3.6,6,16.2,259,,SUV - SMALL
2.4,4,10,230,,SUV - SMALL
3.6,6,12.6,290,,SUV - SMALL
3.6,6,17,272,,SUV - SMALL
4.3,6,15.1,347,,VAN - CARGO
5.3,8,15.9,366,,VAN - CARGO
5.3,8,20.9,334,,VAN - CARGO
5.3,8,16.5,380,,VAN - CARGO
5.3,8,21.5,344,,VAN - CARGO
5.3,8,16.5,380,,VAN - CARGO
5.3,8,21.5,344,,VAN - CARGO
5.3,8,16.5,380,,VAN - CARGO
5.3,8,22.6,362,,VAN - CARGO
5.3,8,16.5,380,,VAN - PASSENGER
5.3,8,21.5,344,,VAN - PASSENGER
5.3,8,16.5,380,,VAN - PASSENGER
5.3,8,22.6,362,,VAN - PASSENGER
4.8,8,18,414,,VAN - PASSENGER
6,8,18.8,432,,VAN - PASSENGER
6,8,25.7,411,,VAN - PASSENGER
4.8,8,18.2,419,,VAN - PASSENGER
6,8,18.9,435,,VAN - PASSENGER
6,8,25.8,413,,VAN - PASSENGER
2.5,4,9.6,221,,FULL-SIZE
3.6,6,10.6,244,,FULL-SIZE
3.6,6,14.3,229,,FULL-SIZE
2.4,4,8.7,200,,FULL-SIZE
2,4,9.9,228,,MID-SIZE
2.5,4,8,184,,MID-SIZE
2.4,4,10.6,244,,SUV - SMALL
2.4,4,10.2,235,,SUV - SMALL
4.3,6,11.8,271,,PICKUP TRUCK - STANDARD
4.3,6,16.8,269,,PICKUP TRUCK - STANDARD
5.3,8,12.7,292,,PICKUP TRUCK - STANDARD
5.3,8,16.9,270,,PICKUP TRUCK - STANDARD
6.2,8,14.1,324,,PICKUP TRUCK - STANDARD
4.3,6,12.6,290,,PICKUP TRUCK - STANDARD
4.3,6,17.8,285,,PICKUP TRUCK - STANDARD
5.3,8,13,299,,PICKUP TRUCK - STANDARD
5.3,8,17.3,277,,PICKUP TRUCK - STANDARD
6.2,8,14.3,329,,PICKUP TRUCK - STANDARD
1.4,4,8,184,,COMPACT
